
--------------------------------------------------
Table : Complete
parent: Série
| Série | Vol. | Titre | Où ? | Auteurs | Editeur | A qui? |
| Les Terres creuses | 3 | NogegoN | Alain | L. Schuiten - F. Schuiten | Les Humanoïdes Associés | Alain |
| Les Innommables | 3 | Alix - Noni - Tengu | Alain | Yann - Conrad | Dargaud | Alain |
| Les Innommables | 4 | Alix - Noni - Tengu | Alain | Yann - Conrad | Dargaud | Alain |
| Grand Vampire | 2 | Mortelles en tête | Alain | Sfar | Delcourt | ??? |
| Grand Vampire | 4 | Quai des brunes | Alain | Sfar | Delcourt | ??? |
| Koblenz | 1 | Le désespoir d'une ombre | Alain | Robin | Coll Conquistador - Delcourt | Alain |
| Rouge de Chine | 1 | Ville Dragon | Alain | Robin | Coll Conquistador - Delcourt | Alain |
| Rouge de Chine | 2 | Masques | Alain | Robin | Coll Conquistador - Delcourt | Alain |
| Rouge de Chine | 3 | Zhan Zheng | Alain | Robin | Coll Conquistador - Delcourt | Alain |
| Rouge de Chine | 4 | Chute | Alain | Robin | Coll Conquistador - Delcourt | Alain |
| Xoco | 1 | Papillon Obsidienne | Alain | Ledroit - Mosdi | Vents d'Ouest | Alain |
| Xoco | 2 | Notre Seigneur l'Ecorché | Alain | Ledroit - Mosdi | Vents d'Ouest | Alain |
| La nef des fous | 1 | Eauxfolles | Alain | Turf | Terres de Légendes - Delcourt | Alain |
| Divers | -1 | Titania | Alain | Gimenez | Comics USA | Alain |
| Divers | -1 | Accroche toi au balais | Alain | Caza | Les Humanos | Alain |
| Divers | -1 | Scènes de la vie de banlieue | Alain | Caza | Dargaud | Alain |
| Divers | -1 | Accroche toi au balais | Alain | Caza | Les Humanos | Alain |
| Koblenz | 2 | Marcher dans Carthage une nuit sans lune | Alain | Robin | Coll Conquistador - Delcourt | Alain |
| Koblenz | 3 | Dernier hiver à Ishiyama | Alain | Robin | Coll Conquistador - Delcourt | Alain |
| Green Manor | 2 | De l'inconvénient d'être mort | Alain | Bodart - Vehlmann | Humour Libre | Alain |
| Persepolis | 1 | Persepolis 1 | Alain | Satrapi | L'Association | Alain |
| Persepolis | 2 | Persepolis 2 | Alain | Satrapi | L'Association | Alain |
| Persepolis | 3 | Persepolis 3 | Alain | Satrapi | L'Association | Alain |
| Persepolis | 4 | Persepolis 4 | Alain | Satrapi | L'Association | Alain |
| Divers | -1 | Shenzhen | Alain | Delisle | L'Association | Alain |
| Divers | -1 | Zapata, en temps de guerre | Alain | Squarzoni | Les Requins Marteaux | Alain |
| La Voie du Samouraï | 1 | La lame et le vent | Alain | Marz - Sears | Semic Album | Alain |
| Grand Vampire | 1 | Cupidon s'en fout | Alain | Sfar | Delcourt | ??? |
| La Ligue des Gentlemen Extraordinaires | 1 | La Ligue des Gentlemen Extraordianaires (1 et 2) | Alain | Moore - O'Neil | Editions USA | Alain |
| La Ligue des Gentlemen Extraordinaires | 2 | La Ligue des Gentlemen Extraordinaires (1 et 2) | Alain | Moore - O'Neil | Editions USA | Alain |
| Private Ghost | 1 | Red Label voodoo | Alain | Crisse - Carrère | Soleil | Alain |
| Divers | -1 | Le petit monde du Golem | Alain | Sfar | L'Association | Alain |
| Après l'Incal | 1 | Le nouveau rêve | Alain | Jodorowsky - Moebius | Les Humanoïdes Associés | Alain |
| Divers | -1 | Opération minuit à Rhodes | Alain | Béhé - Boisset | Vents d'Ouest | Alain |
| Le vol du corbeau | 1 | Le vol du corbeau (1) | Alain | Gibrat | Aire Libre | Alain |
| Slaine | 2 | Les Armes Sacrées | Alain | Mills - Bisley | Zenda Editions | Alain |
| Les contes du Korrigan | 1 | Les trésors enfouis | Alain | Le Breton - Istin - Peynet - Michel | Soleil | Alain |
| Rapaces | 4 | Rapaces IV | Alain | Dufaux - Marini | Dargaud | Alain |
| De Cape et de Crocs | 6 | Luna incognita | Alain | Ayroles - Masbou | Delcourt | Alain |
| Les démons d'Alexia | 1 | L'Héritage | Alain | Ers - Dugomier | Dupuis | Alain |
| Terres mécanique | 1 | Océanica | Alain | Andreae - Fitou | Un Monde - Casterman | Alain |
| Terres mécanique | 2 | Antartica | Alain | Andreae | Un Monde - Casterman | Alain |
| La Voie du Samouraï | 2 | Du sang dans la neige | Alain | Marz - Sears | Semic Album | Alain |
| Blacksad | 2 | Artic Nation | Alain | Canales - Guarnido | Dargaud | Alain |
| Divers | -1 | La fille du professeur | Alain | Guibert - Sfar | Expresso - Dupuis | Alain |
| Les Arcanes du Midi-Minuit | 1 | L'affaire du Nalta P312 | Alain | Gaudin - Trichet | Soleil | Alain |
| Les Arcanes du Midi-Minuit | 2 | L'affaire de la ligne II | Alain | Gaudin - Trichet | Soleil | Alain |
| La grippe coloniale | 1 | Le retour d'Ulysse | Alain | Huo Chao Si - Appollo | Vents d'Ouest | Alain |
--------------------------------------------------
